YEARS;MONTH;NAME;LINK;start_date;end_date
1971;September;Oliver Weerasinghe;https://www.raphaelleonardlevy.com/jeansellem/oliver-weerasinghe;;
1971;October;Sandro Adriani;https://www.raphaelleonardlevy.com/jeansellem/sandro-adriani;;
1971;October;Eva Acking;https://www.raphaelleonardlevy.com/jeansellem/eva-acking;;
1971;October;Brittgard Bondessons;https://www.raphaelleonardlevy.com/jeansellem/brittgard-bondessons;;
1971;November;Bengt Christersson;https://www.raphaelleonardlevy.com/jeansellem/bengt-christersson;;
1971;November;Ingvar Svensson;https://www.raphaelleonardlevy.com/jeansellem/ingvar-svensson;;
1971;December;Lund Opus;https://www.raphaelleonardlevy.com/jeansellem/lund-opus;;
1972;January;Kenneth Welfare;https://www.raphaelleonardlevy.com/jeansellem/kenneth-welfare;;
1972;February;Lars Hägglund;https://www.raphaelleonardlevy.com/jeansellem/lars-hagglund;;
1972;February;Paul Kiraly;https://www.raphaelleonardlevy.com/jeansellem/paul-kiraly;;
1972;March;ÅKE Egevad;https://www.raphaelleonardlevy.com/jeansellem/ake-egevad;;
1972;April;Raymond Mahout;https://www.raphaelleonardlevy.com/jeansellem/raymond-mahout;;
1972;April;Lennart Gummeson;https://www.raphaelleonardlevy.com/jeansellem/lennart-gummeson;;
1972;May;Alexius Huber;https://www.raphaelleonardlevy.com/jeansellem/alexius-huber;;
1972;May;Barry Bryant;https://www.raphaelleonardlevy.com/jeansellem/barry-bryant;;
1972;June;Expo 1972;https://www.raphaelleonardlevy.com/jeansellem/expo-1972;;
1972;July;Vera Myhre;https://www.raphaelleonardlevy.com/jeansellem/vera-myhre;;
1972;July;Indira Johnson;https://www.raphaelleonardlevy.com/jeansellem/indira-johnson;;
1972;August;Paul-Armand Gette;https://www.raphaelleonardlevy.com/jeansellem/paul-armand-gette;;
1972;September;Josef Simon;https://www.raphaelleonardlevy.com/jeansellem/josef-simon;;
1972;September;Knud Holar;https://www.raphaelleonardlevy.com/jeansellem/knud-holar;;
1972;November;Alf Lindgren;https://www.raphaelleonardlevy.com/jeansellem/alf-lindgren;;
1972;November;Helmut Vakil;https://www.raphaelleonardlevy.com/jeansellem/helmut-vakil;;
1972;November;Mats B.;https://www.raphaelleonardlevy.com/jeansellem/mats-b;;
1972;December;Leif Loffe Norman;https://www.raphaelleonardlevy.com/jeansellem/leif-loffe-norman;;
1973;January;Karl Johnson;https://www.raphaelleonardlevy.com/jeansellem/karl-johnson;;
1973;January;Mats Hansén;https://www.raphaelleonardlevy.com/jeansellem/mats-hansen;;
1973;January;Lothar Fischer;https://www.raphaelleonardlevy.com/jeansellem/lothar-fischer;;
1973;March;Poul Skelbye;https://www.raphaelleonardlevy.com/jeansellem/poul-skelbye;;
1973;March;New Eter;https://www.raphaelleonardlevy.com/jeansellem/new-eter;;
1973;April;Konrad Balder Schäuffelen;https://www.raphaelleonardlevy.com/jeansellem/konrad-balder-schauffelen;;
1973;April;Arne Schmitz;https://www.raphaelleonardlevy.com/jeansellem/arne-schmitz;;
1973;May;Jerzy Grabowski;https://www.raphaelleonardlevy.com/jeansellem/jerzy-grabowski;;
1973;May;J.O Mallander;https://www.raphaelleonardlevy.com/jeansellem/jo-mallander;;
1973;June;Masaaki Ueshima;https://www.raphaelleonardlevy.com/jeansellem/masaaki-ueshima;;
1973;June;Jeff Ibbo;https://www.raphaelleonardlevy.com/jeansellem/jeff-ibbo;;
1973;August;BOLTANSKI, GETTE, WERNER KALKMANN, MESSAGER, STEMBERA, SARKIS ZABUNYAN;https://www.raphaelleonardlevy.com/jeansellem/christian-boltanski-paul-armand-gette-hans-werner-kalkmann-annette-messager-petr-stembera-sarkis-zabunyan;;
1973;September;Dikt för Dig;https://www.raphaelleonardlevy.com/jeansellem/dikt-for-dig;;
1973;September;Sol Hanke-Nilsson (talk);https://www.raphaelleonardlevy.com/jeansellem/sol-hanke-nilsson;;
1973;September;Denis Lindbohm (talk);https://www.raphaelleonardlevy.com/jeansellem/denis-lindbohm;;
1973;September;Karl H Bolay (talk);https://www.raphaelleonardlevy.com/jeansellem/karl-h-bolay;;
1973;September;Beatrice Heybroek;https://www.raphaelleonardlevy.com/jeansellem/beatrice-heybroek;;
1973;September;Luzzi Herzog & Palle Budtz;https://www.raphaelleonardlevy.com/jeansellem/luzzi-herzog-palle-budtz;;
1973;October;Françoise Janicot;https://www.raphaelleonardlevy.com/jeansellem/francoise-janicot;;
1973;November;Ulf Wahlberg;https://www.raphaelleonardlevy.com/jeansellem/ulf-wahlberg;;
1973;November;Karin Luttrup;https://www.raphaelleonardlevy.com/jeansellem/karin-luttrup;;
1973;November;Per Kirkeby;https://www.raphaelleonardlevy.com/jeansellem/per-kirkeby;;
1973;December;Jean Roualdès;https://www.raphaelleonardlevy.com/jeansellem/jean-roualdes;;
1973;December;Sune Nordgren;https://www.raphaelleonardlevy.com/jeansellem/sune-nordgren;;
1974;January;Werner Brenner;https://www.raphaelleonardlevy.com/jeansellem/werner-brenner;;
1974;January;Henning Christiansen;https://www.raphaelleonardlevy.com/jeansellem/henning-christiansen;;
1974;February;Niels Viggo Bentzon;https://www.raphaelleonardlevy.com/jeansellem/niels-viggo-bentzon;;
1974;February;Bo Michanek;https://www.raphaelleonardlevy.com/jeansellem/bo-michanek;;
1974;March;Poul Gernes & Joel Glassman;https://www.raphaelleonardlevy.com/jeansellem/poul-gernes-joel-glassman;;
1974;March;Svein Rønning;https://www.raphaelleonardlevy.com/jeansellem/svein-ronning;;
1974;April;Barry Pringle;https://www.raphaelleonardlevy.com/jeansellem/barry-pringle;;
1974;April;Henrik Have;https://www.raphaelleonardlevy.com/jeansellem/henrik-have;;
